Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['16.318'];;;Tablet;;Tablet;;;;;;;RS 16.318;;;;;;;
RS;['16.340'];;;Vessel, Hieroglyphic Egyptian;;Vessel;;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 485 ? 3,33;485;3,33;RS 16.340;Hieroglyphic;Egyptian;85 x 50 x 23;;;;
RS;['16.341'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4368;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 470 ? 2,30;470;2,3;RS 16.341;Alphabetic;Ugaritic;62 x 47 x 22;4.230;;;
RS;['15.191[B]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.191 [B];Logosyllabic;Akkadian;20 x 19 x 14;;;;
RS;['15.191[C]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.191 [C];Logosyllabic;Akkadian;16 x 15 x 12;;;;
RS;['15.192[F]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [F];Logosyllabic;Akkadian;38 x 59 x 19;;;;
RS;['16.347'];;;Tablet;;Tablet;Damas s.n.;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 495;;;;;;65 x 102 x 13;;;;
RS;['15.192[H]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [H];Logosyllabic;Akkadian;23 x 28 x 13;;;;
RS;['15.192[O]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [O];Logosyllabic;Akkadian;9 x 18 x 5;;;;
RS;['16.350[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 433 ? 0,78;433;0,78;RS 16.350 [A];Alphabetic;Ugaritic;39 x 38 x 15;4.231;;;
RS;['15.562'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;;;Sans indication de provenance dans l'inventaire;;;RS 15.562;Logosyllabic;Akkadian;45 x 38 x 27;;;;
RS;['16.352A'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 341 ? 1,30;341;1,3;RS 16.352A;Alphabetic;Ugaritic;30 x 41 x 23;;;;
RS;['16.352B'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 332 ? 1,20;332;1,2;RS 16.352B;Alphabetic;Ugaritic;32 x 35 x 16;;;;
RS;['16.352C'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 332 et/ou 341;332;341;RS 16.352C;Alphabetic;Ugaritic;17 x 30 x 16;;;;
RS;['15.X', '15.192[G]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [G];Logosyllabic;Akkadian;60 x 40 x 19;;;;
RS;['15.Z', '[Varia8]'];;;Tablet, Logosyllabic Akkadian;;Tablet;AO 27.986;;;unknown;;;RS [Varia 8];Logosyllabic;Akkadian;61 x 53 x 22;;;;
RS;['15.Z', '[Varia8]'];;;Tablet, Logosyllabic Akkadian;;Tablet;AO 27.986;;;unknown;;;RS [Varia 8];Logosyllabic;Akkadian;61 x 53 x 22;;;;
RS;['16.003'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4222;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 323 ? 0,80;323;0,8;RS 16.003;Logosyllabic;Akkadian;70 x 55 x 23;;;;
RS;['16.061'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4228;Royal Palace;;Palais Royal, room 72 p.t. 268 ? 3,40;268;3,4;RS 16.061;Logosyllabic;Akkadian;41 x 57 x 11;;;;
RS;['16.086'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4232;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 265 ? 0,80;265;0,8;RS 16.086;Logosyllabic;Akkadian;79 x 21 x 24;;;;
RS;['16.110'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4234;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 359 ? 0,30;359;0,3;RS 16.110;Logosyllabic;Akkadian;62 x 89 x 27;;;;
RS;['16.111'];PRAVDA;Letter;Tablet, Logosyllabic Akkadian;;Tablet;DO 4235;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 379 ? 2,80;379;2,8;RS 16.111;Logosyllabic;Akkadian;69 x 52 x 25;;;;
RS;['16.112'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4236;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 381 ? 2,80;381;2,8;RS 16.112;Logosyllabic;Akkadian;66 x 54 x 27;;;;
RS;['16.114'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4237;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 379bis ? 2,75;;2,75;RS 16.114;Logosyllabic;Akkadian;100 x 76 x 32;;;;
RS;['16.365'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4380;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24 ? 1,30;;1,3;RS 16.365;Alphabetic;Ugaritic;50 x 60 x 19;4.233;;+seal;
RS;['16.366'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4381;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24 ? 1,30;;1,3;RS 16.366;Alphabetic;Ugaritic;52 x 29 x 21;4.234;;;
RS;['16.116'];PRAVDA;Letter;Tablet, Logosyllabic Akkadian;;Tablet;DO 4238;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 349 ? 2,15;349;2,15;RS 16.116;Logosyllabic;Akkadian;72 x 55 x 27;;;;
RS;['16.125'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4239;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 344 ? 1,70;344;1,7;RS 16.125;Logosyllabic;Akkadian;21 x 29 x 15;;;;
RS;['16.126A'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4240;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 344 ? 1,70;344;1,7;RS 16.126A;Logosyllabic;Akkadian;30 x 42 x 16;;;;
RS;['16.126B', '16.257', '16.258', '16.345'];PRAVDA;Administrative;Tablet, Logosyllabic Akkadian;;Tablet;DO 4241;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 344 ? 1,70;344;1,7;RS 16.126B+;Logosyllabic;Akkadian;259 x 180 x 43;;;;
RS;['16.369[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [A];Alphabetic;Ugaritic;16 x 41 x 9;;;;
RS;['16.369[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [B];Alphabetic;Ugaritic;20 x 32 x 7;;;;
RS;['16.369[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [C];Alphabetic;Ugaritic;21 x 31 x 6;;;;
RS;['16.369[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [D];Alphabetic;Ugaritic;14 x 22 x 6;;;;
RS;['16.369[E]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [E];Alphabetic;Ugaritic;12 x 28 x 8;;;;
RS;['16.369[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [F];Alphabetic;Ugaritic;12 x 17 x 5;;;;
RS;['16.369[G]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [G];Alphabetic;Ugaritic;14 x 15 x 3;;;;
RS;['16.369[H]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369 [H];Alphabetic;Ugaritic;10 x 12 x 5;;;;
RS;['16.369'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4383;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 497 ? 2,30;497;2,3;RS 16.369;Alphabetic;Ugaritic;61 x 34 x 22;4.235;;;
RS;['1-11.[021]'];;;;;Tablet;AO 19.998 B;;;unknown;;;RS 1-11.[021];Alphabetic;Ugaritic;25 x 28 x 10;1.28;ritual/list (sacrifices);;
RS;['16.129'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4244;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24 ? 1,30;;1,3;RS 16.129;Logosyllabic;Akkadian;67 x 50 x 23;;;;
RS;['16.372'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 445 ? 0,80;445;0,8;RS 16.372;Alphabetic;Ugaritic;34 x 40 x 5;4.236;;;
RS;['16.373[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 65 (Archives Centrales), p.t. 512 ? 0,75;512;0,75;RS 16.373 [A];Alphabetic;Ugaritic;24 x 31 x 7;4.237;;;
RS;['16.373[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 65 (Archives Centrales), p.t. 512 ? 0,75;512;0,75;RS 16.373 [B];Alphabetic;Ugaritic;27 x 24 x 13;4.238;;;
RS;['16.373[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 65 (Archives Centrales), p.t. 512 ? 0,75;512;0,75;RS 16.373 [C];Alphabetic;Ugaritic;27 x 19 x 21;4.241;;;
RS;['16.374'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4385;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 470 ? 2.05;470;;RS 16.374;Alphabetic;Ugaritic;47 x 56 x 11;4.239;;;
RS;['16.375[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375 [F];Alphabetic;Ugaritic;10 x 15 x 7;;;;
RS;['16.375A'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375A;Alphabetic;Ugaritic;45 x 72 x 26;;;;
RS;['16.375B'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375B;Alphabetic;Ugaritic;39 x 39 x 10;;;;
RS;['16.375C'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375C;Alphabetic;Ugaritic;43 x 25 x 11;;;;
RS;['16.375D'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375D;Alphabetic;Ugaritic;22 x 27 x 6;;;;
RS;['16.375E'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, au nord de room 62 (Archives Centrales), p.t. 347 ? 2,50;347;2,5;RS 16.375E;Alphabetic;Ugaritic;26 x 34 x 19;;;;
RS;['16.376'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4386;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 388 ? 1,02;388;1,02;RS 16.376;Alphabetic;Ugaritic;40 x 60 x 29;4.240;;;
RS;['16.377'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 381 ? 3,00;381;3;RS 16.377;Alphabetic;Ugaritic;55 x 65 x 24;;;;
RS;['16.378[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378 [D];Alphabetic;Ugaritic;16 x 22 x 11;;;;
RS;['16.378[E]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378 [E];Alphabetic;Ugaritic;14 x 27 x 8;;;;
RS;['16.378[F]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378 [F];Alphabetic;Ugaritic;10 x 17 x 7;;;;
RS;['16.378[G]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378 [G];Alphabetic;Ugaritic;21 x 10 x 6;;;;
RS;['16.378[H]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378 [H];Alphabetic;Ugaritic;22 x 16 x 7;;;;
RS;['16.378A'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378A;Alphabetic;Ugaritic;24 x 29 x 12;2.27;;;
RS;['16.378B'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378B;Alphabetic;Ugaritic;10 x 28 x 8;2.28;;;
RS;['16.378C'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 466 ? 1,23;466;1,23;RS 16.378C;Alphabetic;Ugaritic;19 x 20 x 9;2.29;;;
RS;['16.379'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4387;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.379;Alphabetic;Ugaritic;62 x 48 x 22;2.30;;;
RS;['16.380A'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.380A;Alphabetic;Ugaritic;68 x 14 x 13;4.220+4.221;;;
RS;['16.380B'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.380B;Alphabetic;Ugaritic;34 x 54 x 21;;;;
RS;['16.380C'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.380C;Alphabetic;Ugaritic;29 x 31 x 5;;;;
RS;['16.381[C]'];;;Tablet;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 338 ? 1,20;338;1,2;;;;28 x 20 x 14;;;;
RS;['16.381A'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 338 ? 1,20;338;1,2;RS 16.381A;Alphabetic;Ugaritic;9 x 41 x 24;;;;
RS;['16.381B'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 338 ? 1,20;338;1,2;RS 16.381B;Alphabetic;Ugaritic;22 x 42 x 18;4.242;;;
RS;['16.382'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4388;Royal Palace;;Palais Royal, Archives Centrales;;;RS 16.382;Alphabetic;Ugaritic;90 x 70 x 35;3.5;;+yqrm seal;
RS;['16.131'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4246;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 386 ? 0,80;386;0,8;RS 16.131;Logosyllabic;Akkadian;85 x 67 x 32;;;;
RS;['16.132'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4247;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.132;Logosyllabic;Akkadian;89 x 63 x 33;;;;
RS;['16.133'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4248;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.133;Logosyllabic;Akkadian;85 x 62 x 29;;;;
RS;['16.134'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4249;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.134;Logosyllabic;Akkadian;85 x 72 x 37;;;;
RS;['16.135'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4250;Royal Palace;Central archive;Palais Royal, cour VI (Archives Centrales), p.t. 432 ? 0,55;432;0,55;RS 16.135;Logosyllabic;Akkadian;69 x 59 x 28;;;;
RS;['16.393A'];;;Tablet;;Tablet;DO 4393;Royal Palace;Central archive;Palais Royal, entre cours IV et VI (Archives Centrales), p.t. 406 ? 0,95;406;0,95;;;;73 x 57 x 27;;;yqrm seal - orig et copy impression;
RS;['16.394'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4394;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 396 ? 2,90;396;2,9;RS 16.394;Alphabetic;Ugaritic;230 x 145 x 40;2.31;letter?/incantation?;;
RS;['16.395'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4395;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.395;Alphabetic;Ugaritic;120 x 155 x 27;4.243;;;
RS;['16.396'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4396;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24, ? 1,30;;1,3;RS 16.396;Alphabetic;Ugaritic;130 x 177 x 23;4.244;;;
RS;['16.397'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4397;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24 ? 1,30;;1,3;RS 16.397;Alphabetic;Ugaritic;82 x 84 x 16;4.245;;;
RS;['16.398'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4398;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24 ? 1,30;;1,3;RS 16.398;Alphabetic;Ugaritic;75 x 50 x 22;4.246;;;
RS;['16.399'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4399;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.399;Alphabetic;Ugaritic;90 x 78 x 29;4.247;;;
RS;['16.400'];;;Tablet;;Tablet;DO 4400;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.400;;;38 x 28 x 20;;;;
RS;['16.401'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4401;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 537 ? 2,95;537;2,95;RS 16.401;Alphabetic;Ugaritic;60 x 59 x 8;2.32;;;
RS;['16.402[B]', '16.402,16.402', '16.402', '16.402[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4402;Royal Palace;Central archive;Palais Royal, room 64 (Archives Centrales), p.t. 396 ? 2,90;396;2,9;RS 16.402+;Alphabetic;Ugaritic;84 x 58 x 30;2.33;;;
RS;['16.404'];;;Vessel (Horn in carved ivory);;Vessel;;;;;;;;;;;;;;
RS;['16.136'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4251;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 386 ? 0,80;386;0,8;RS 16.136;Logosyllabic;Akkadian;56 x 49 x 23;;;;
RS;['16.137'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4252;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 372 ? 0,70;372;0,7;RS 16.137;Logosyllabic;Akkadian;78 x 59 x 16;;;;
RS;['16.138'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4253;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 372 ? 0,70;372;0,7;RS 16.138;Logosyllabic;Akkadian;128 x 91 x 35;;;;
RS;['16.139'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4254;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 372 ? 0,70;372;0,7;RS 16.139;Logosyllabic;Akkadian;89 x 76 x 44;;;;
RS;['1-11.[023]'];;;;;Tablet;AO 19.998 H;;;unknown;;;RS 1-11.[023];Alphabetic;Ugaritic;19 x 19 x 8;1.29;ritual/list (sacrifices);;
RS;['16.417'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Room 73 archive;Palais Royal, room 73, p.t. 422-24, ? 1,30;;1,3;RS 16.417;Alphabetic;Ugaritic;35 x 42 x 10;4.249;;;
RS;['16.140'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4255;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 372 ? 0,70;372;0,7;RS 16.140;Logosyllabic;Akkadian;64 x 56 x 23;;;;
RS;['16.141'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4256;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 372 ? 0,70;372;0,7;RS 16.141;Logosyllabic;Akkadian;72 x 58 x 26;;;;
RS;['17.[468]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Central archive;Palais Royal, room 66 (Archives Centrales), p.t. 796 ? 3,10;796;3,1;RS 17.[468];Alphabetic;Ugaritic;28 x 23 x 15;3.6;;;
RS;['1-11.[022]'];;;;;Tablet;AO 19.998 D;;;unknown;;;RS 1-11.[022];Alphabetic;Ugaritic;29 x 22 x 15;1.31;ritual/list (sacrifices);;
RS;['17.[470]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal, (Archives Centrales), p.t. 888, ? 0,20;888;0,2;RS 17.[470];Alphabetic;Ugaritic;35 x 31 x 26;4.251;;;
RS;['17.[471][A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.[471] [A];Alphabetic;Ugaritic;23 x 24 x 5;4.252;;;
RS;['17.[471][B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.[471] [B];Alphabetic;Ugaritic;21 x 21 x 8;4.253;;;
RS;['17.[471][C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.[471] [C];Alphabetic;Ugaritic;35 x 26 x 11;4.254;;;
RS;['17.[471][D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901;;;RS 17.[471] [D];Alphabetic;Ugaritic;20 x 22 x 13;7.66;;;
RS;['1-11.[118]'];;;;;Tablet;AO 25.173;;;unknown;;;RS 1-11.[118];Alphabetic;Ugaritic;14 x 33 x 7;1.38;letter/list (sacrifices)?;;
RS;['17.[473][A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Room 90 archive;Palais Royal, room 90, p.t. 1030 ? 2,20;1030;2,2;RS 17.[473] [A];Alphabetic;Ugaritic;9 x 26 x 20;4.256;;;
RS;['17.[473][B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Room 90 archive;Palais Royal, room 90, p.t. 1031 ? 2,20;1031;2,2;RS 17.[473] [B];Alphabetic;Ugaritic;46 x 40 x 26;4.257;;;
RS;['17.[474][A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [A];Alphabetic;Ugaritic;29 x 19 x 13;;;;
RS;['17.[474][B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [B];Alphabetic;Ugaritic;25 x 19 x 7;;;;
RS;['17.[474][C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [C];Alphabetic;Ugaritic;11 x 17 x 10;;;;
RS;['17.[474][D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [D];Alphabetic;Ugaritic;7 x 15 x 16;;;;
